ID,Asking_Price,Bedrooms,Square_Feet,Baths,Garage,Stories,Year,Lot_Size,Age,Total_Rooms
1,163.9,2,1100,1,2,2,2006,12600,0,7
2,154.9,3,1500,18,1.5,2,1,1988,NA,6
3,148.999,4,1050,1.5,1,1,1972,7788,34,9
4,144.9,3,1336,85,1.5,1,2,1921,NA,6
5,144.9,4,2590,2,2,2,1901,NA,105,9
6,141.9,3,1410,40,1.5,2,1,1966,11220,8
7,139.9,2,960,1,2,2,2006,7864,0,5
8,139.9,3,1378,1.5,1,2,1946,NA,60,8
9,139.9,3,1080,1,1,2,1956,5808,50,6
10,136.9,3,1296,1,2,1,1960,16335,46,7
11,135,4,1626,1.5,1,2,1953,8799,53,NA
12,134.9,5,2002,1.5,0,2,1901,NA,105,7
13,132,5,1711,95,2,2,2,1911,6072,NA
14,129.9,3,1176,1,1,1,1960,6534,46,NA
15,129.9,2,1155,1,2,1,1966,8276,40,5
16,129.5,2,884,1,2,1,1960,10416,46,7
17,126.5,3,1380,96,2,1,2,1910,11600,7
18,124.9,5,1680,2,0,2,1900,5330,106,6
19,123.9,3,1000,37,1,1,1,1969,NA,7
20,123.5,2,2191,1.5,3,1,1962,49658,44,6
21,119.9,3,960,1,1,1,1958,12750,48,6
22,119.9,6,1338,100,2,2,2,1906,5808,9
23,119.9,4,1015,1,2,2,1930,6534,76,7
24,117.9,3,1172,65,1.5,1,2,1941,NA,6
25,116.9,3,1100,65,1,2,2,1941,6403,7
26,115.7,2,1080,1.5,0,1,2006,5220,0,5
27,114.9,2,900,36,1,1,1,1970,6970,5
28,114.9,3,1136,1,1,1,1946,6534,60,6
29,112.9,3,1044,1,1,2,1906,6534,100,5
30,109.9,4,1170,1.5,1,2,1935,NA,71,6
31,109.9,2,1012,3,2,1,1947,NA,59,5
32,105.9,2,1064,1,2,1,1900,10824,106,5
33,104.9,3,814,106,1,0,2,1900,NA,5
34,101,3,1128,2,0,2,1898,NA,108,NA
35,99.9,2,836,2,1,1,1999,86000,7,5
36,97.9,2,695,67,1,1,2,1939,7788,6
37,94.9,4,1158,1,1,2,1906,NA,100,7
38,83.9,3,1100,1,0,2,1911,2656,95,7
39,79.5,4,1122,2,0,2,1911,6098,95,NA
40,63.9,3,1252,1,1,2,1901,5227,105,6
41,128.5,4,983,2,1,2,1996,NA,10,7
42,126.5,3,1380,96,2,1,2,1910,11600,7
43,124.9,3,1189,60,1,1,2,1946,NA,7
44,124.9,3,1288,2.5,1,2,1949,6098,57,NA
45,123.9,3,1395,2,1,2,1906,NA,100,7
46,119.9,3,960,1,1,1,1958,12750,48,6
47,119.9,3,1084,1,2,2,1949,8250,57,6
48,119.9,3,1080,1,1,2,1923,NA,83,7
49,119.9,3,1040,35,1.5,0,2,1971,NA,6
50,118.9,5,1417,106,2,0,2,1900,5676,9
51,116.9,4,1519,1,0,2,1902,NA,104,7
52,114.9,2,804,46,1,0,1,1960,10890,7
53,114.9,4,1405,2,2,2,1900,5875,106,7
54,114.9,3,1136,1,1,1,1946,6534,60,6
55,114.5,2,642,59,1,1,2,1947,19536,3
56,109.9,4,1712,1,1,2,1885,7405,121,NA
57,109.9,3,1244,95,2,1,2,1911,7938,7
58,106.9,2,752,2,1,1,2005,NA,1,4
59,104.9,2,780,1,1,1,1943,NA,63,NA
60,102.9,3,1098,1,0,2,1906,5227,100,7
61,101,3,1128,108,2,0,2,1898,5544,NA
62,75,3,840,1,0,1,1916,NA,90,5
63,94.9,4,1158,100,1,1,2,1906,NA,7
64,79.9,2,980,57,1,0,1,1949,12660,4
65,84.9,3,1297,1,1,2,1871,6600,135,5
