SubjectID,Device,Distraction,CharactersPerMin
1,Phone,None,320
1,Computer,Conversation,302
1,Computer,None,320
1,Phone,Music,369
1,Phone,Conversation,319
1,Computer,Music,361
2,Phone,Conversation,147
2,Phone,Music,156
2,Phone,None,168
2,Computer,Conversation,191
2,Computer,None,191
2,Computer,Music,251
3,Computer,None,207
3,Phone,Conversation,219
3,Phone,None,212
3,Computer,Music,217
3,Phone,Music,247
3,Computer,Conversation,253
4,Computer,Conversation,175
4,Computer,Music,189
4,Computer,None,225
4,Phone,None,183
4,Phone,Music,166
4,Phone,Conversation,146
5,Computer,Conversation,255
5,Computer,Music,340
5,Computer,None,349
5,Phone,Conversation,197
5,Phone,None,283
5,Phone,Music,248
6,Computer,Conversation,208
6,Computer,None,238
6,Phone,None,218
6,Phone,Music,201
6,Phone,Conversation,130
6,Computer,Music,261
7,Phone,Music,161
7,Phone,Conversation,240
7,Computer,None,292
7,Computer,Music,356
7,Phone,None,228
7,Computer,Conversation,258
